"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Tufs","Tignes","3-CLF","https://lift-world.info/en/lifts/4179/datas.htm",,,,"2145 m",,,"?? m","2705 m","?? %","52 %","1620 m","21 Stk","2,5 m/s","?? min",,"560 m"
"Tufs","Tignes","6-CLD","https://lift-world.info/en/lifts/13445/datas.htm",,,,"2130 m",,,"?? m","2695 m","38 %","70 %","1599 m","15 Stk","5,25 m/s","6,0 min",,"562 m"
"Tovière","Tignes","10-MGD","https://lift-world.info/en/lifts/16987/datas.htm",,,,"2092 m",,,"1653 m","2692 m","36,3 %","80,4 %","1782 m","16 Stk","6,0 m/s","5 min",,"600 m"
"Tommeuses","Tignes","8-CLD","https://lift-world.info/en/lifts/2002/datas.htm",,,,"2237 m",,,"?? m","2694 m","?? %","73 %","1716 m","18 Stk","4,4 m/s","6,5 min",,"457 m"
"Tichots","Tignes","6-CLD","https://lift-world.info/en/lifts/8919/datas.htm",,,,"2100 m",,,"?? m","2361 m","33 %","63 %","1171 m","14 Stk","5,0 m/s","4,3 min",,"361 m"
"Tichot","Tignes","4-CLF","https://lift-world.info/en/lifts/4185/datas.htm",,,,"2100 m",,,"?? m","2463 m","?? %","35 %","1196 m","17 Stk","2,3 m/s","?? min",,"363 m"
"Sache","Tignes","6-MGD","https://lift-world.info/en/lifts/4130/datas.htm",,,,"1560 m",,,"1860 m","2182 m","33,33 %","94 %","1986 m","17 Stk","4,0 m/s","8,17 min",,"622 m"
"Rosset","Tignes","4-CLF","https://lift-world.info/en/lifts/4184/datas.htm",,,,"2100 m",,,"?? m","2156 m","?? %","33 %","322 m","7 Stk","2,0 m/s","?? min",,"56 m"
"Rosset","Tignes","4-CLF","https://lift-world.info/en/lifts/18302/datas.htm",,,,"2078 m",,,"?? m","2143 m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"65 m"
"Rosolin 2","Tignes","2-SL","https://lift-world.info/en/lifts/8741/datas.htm",,,,"2884 m",,,"?? m","3052 m","?? %","26 %","900 m","?? Stk","3,2 m/s","?? min",,"168 m"
"Rosolin 1","Tignes","2-SL","https://lift-world.info/en/lifts/8740/datas.htm",,,,"2884 m",,,"?? m","3052 m","?? %","21 %","980 m","?? Stk","3,0 m/s","?? min",,"168 m"
"Replat","Tignes","3-CLF","https://lift-world.info/en/lifts/4178/datas.htm",,,,"2384 m",,,"?? m","2493 m","?? %","38 %","951 m","15 Stk","2,3 m/s","?? min",,"109 m"
