"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Sepaya ll","Val-d`Illiez","1-SL","https://lift-world.info/en/lifts/11716/datas.htm",,"1200 Pers/h",,,"1454 m",,"?? m","?? m","1606 m","?? %","?? %","803 m","?? Stk","?? m/s","?? min",,"152 m"
"Sepaya l","Val-d`Illiez","2-SL","https://lift-world.info/en/lifts/11715/datas.htm",,"1200 Pers/h",,,"1454 m",,"?? m","?? m","1705 m","?? %","?? %","1295 m","?? Stk","?? m/s","?? min",,"251 m"
"Pointe de l`Au","Val-d`Illiez","2-CLF","https://lift-world.info/en/lifts/9056/datas.htm",,"900 Pers/h",,,"1660 m",,"?? m","?? m","2110 m","?? %","?? %","1555 m","?? Stk","?? m/s","?? min",,"450 m"
"Derrière Pertuis","Val-d`Illiez","2-SL","https://lift-world.info/en/lifts/11714/datas.htm",,"850 Pers/h",,,"1687 m",,"?? m","?? m","1939 m","?? %","?? %","970 m","?? Stk","?? m/s","?? min",,"252 m"
"Champeys","Val-d`Illiez","2-SL","https://lift-world.info/en/lifts/11713/datas.htm",,"900 Pers/h",,,"1534 m",,"?? m","?? m","1711 m","?? %","?? %","588 m","?? Stk","?? m/s","?? min",,"177 m"
"Aiguille des Champeys","Val-d`Illiez","4-CLF","https://lift-world.info/en/lifts/11235/datas.htm",,"2400 Pers/h",,,"1668 m",,"?? m","?? m","2032 m","?? %","?? %","1026 m","?? Stk","?? m/s","?? min",,"364 m"
"Ripaille II","Champéry","2-SL","https://lift-world.info/en/lifts/10477/datas.htm",,"1200 Pers/h",,,"1670 m",,"?? m","?? m","1926 m","?? %","?? %","1187 m","?? Stk","?? m/s","?? min",,"256 m"
"Ripaille I","Champéry","1-SL","https://lift-world.info/en/lifts/10476/datas.htm",,"600 Pers/h",,,"1670 m",,"?? m","?? m","1926 m","?? %","?? %","1187 m","?? Stk","?? m/s","?? min",,"256 m"
"Planachaux-Croix de Culet","Champéry","3-CLF","https://lift-world.info/en/lifts/19550/datas.htm",,"1800 Pers/h",,,"1763 m",,,"?? m","1939 m","?? %","?? %","566 m","?? Stk","?? m/s","?? min",,"176 m"
"Planachaux","Champéry","6-CLD","https://lift-world.info/en/lifts/5265/datas.htm",,"2400 Pers/h",,,"1685 m",,,"?? m","1938 m","?? %","?? %","756 m","8 Stk","?? m/s","2,75 min",,"253 m"
"Pauvre-Conche","Champéry","4-CLF","https://lift-world.info/en/lifts/9053/datas.htm",,"2400 Pers/h",,,"1677 m",,,"?? m","1983 m","?? %","?? %","1005 m","13 Stk","?? m/s","?? min",,"306 m"
"Louis","Champéry","1-SL","https://lift-world.info/en/lifts/10475/datas.htm",,"800 Pers/h",,,"1770 m",,"?? m","?? m","1920 m","?? %","?? %","505 m","?? Stk","?? m/s","?? min",,"150 m"
"Léchereuse","Champéry","1-SL","https://lift-world.info/en/lifts/10474/datas.htm",,"900 Pers/h",,,"1620 m",,"?? m","?? m","1810 m","?? %","?? %","850 m","?? Stk","?? m/s","?? min",,"190 m"
"Grand Paradis","Champéry","6-CLD/B","https://lift-world.info/en/lifts/5264/datas.htm",,"1600 Pers/h",,,"1030 m",,"?? m","?? m","1817 m","?? %","?? %","1630 m","?? Stk","?? m/s","5,6 min",,"787 m"
"Culet - Planachaux","Champéry","2-CLF","https://lift-world.info/en/lifts/3994/datas.htm",,"726 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Chavanette","Champéry","4-CLF","https://lift-world.info/en/lifts/9052/datas.htm",,"2200 Pers/h",,,"1820 m",,,"?? m","2151 m","?? %","?? %","900 m","13 Stk","?? m/s","?? min",,"331 m"
"Champéry-Planachaux","Champéry","??-AT","https://lift-world.info/en/lifts/14693/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Champéry - Croix-de-Culet","Champéry","125-AT","https://lift-world.info/en/lifts/93/datas.htm",,"1150 Pers/h",,,"1037 m",,"?? m","1949 m","1936 m","43 %","80 %","2144 m","2 Stk","10,0 m/s","5,25 min",,"899 m"
